request_key,timestamp_start,session_id,agent,role,model,gauntlet_objective_id,category,content_characters,structural_characters,total_characters,bytes,estimated_tokens_chars_div_4,percentage_of_classified_characters,repeated_characters_vs_previous_estimate,repeated_percentage_vs_previous_estimate,content_sha256,estimate_note
01a003eb-913c-7852-98e0-8d40a0befc03:00000,2026-08-15T05:37:13.567Z,01a003eb-913c-7852-98e0-8d40a0befc03,orchestrator-deepseek,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,AGENTS/instructions,7947,0,7947,7961,1987,21.4546,0,0.0,5273ea16667e85b4b48fb9b845596037be8aca01520a0a3827091b514ed98fe6,Token estimate is characters/4; not provider tokenization. Repetition is bounded by previous category size.
01a003eb-913c-7852-98e0-8d40a0befc03:00000,2026-08-15T05:37:13.567Z,01a003eb-913c-7852-98e0-8d40a0befc03,orchestrator-deepseek,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,Gauntlet canonical prompt,2033,0,2033,2033,508,5.4885,0,0.0,5ee8dc901adb7bd953e3692c8d4b644c4cc08c9f75d27ec874baea9b087979b6,Token estimate is characters/4; not provider tokenization. Repetition is bounded by previous category size.
01a003eb-913c-7852-98e0-8d40a0befc03:00000,2026-08-15T05:37:13.567Z,01a003eb-913c-7852-98e0-8d40a0befc03,orchestrator-deepseek,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,historical conversation/turns,21008,0,21008,21064,5252,56.7155,0,0.0,e9bd7093306b0306c7a3853b65db91e260da351f0a4fc6b0200c878eabaa671e,Token estimate is characters/4; not provider tokenization. Repetition is bounded by previous category size.
01a003eb-913c-7852-98e0-8d40a0befc03:00000,2026-08-15T05:37:13.567Z,01a003eb-913c-7852-98e0-8d40a0befc03,orchestrator-deepseek,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,system/harness instructions,6053,0,6053,6063,1513,16.3414,0,0.0,00e61643f46db7c9c626cd2896dea466974535ad5f5dc8b9a60467fc5d515452,Token estimate is characters/4; not provider tokenization. Repetition is bounded by previous category size.
01a003eb-913c-7852-98e0-8d40a0befc03:00001,2026-08-15T05:37:21.919Z,01a003eb-913c-7852-98e0-8d40a0befc03,orchestrator-deepseek,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,AGENTS/instructions,7947,0,7947,7961,1987,17.9411,7947,100.0,dbf7f2e44343b5a629f643325122bcbb74149e8e83d583e5b70501cbb5c048c1,Token estimate is characters/4; not provider tokenization. Repetition is bounded by previous category size.
01a003eb-913c-7852-98e0-8d40a0befc03:00001,2026-08-15T05:37:21.919Z,01a003eb-913c-7852-98e0-8d40a0befc03,orchestrator-deepseek,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,CURRENT/HORIZON/HANDOFF/state,4078,0,4078,4112,1020,9.2065,0,0.0,734c12e3f40fe99d5f86240ceb9e57bc8b0b238460df568f8d2639a6a7f033aa,Token estimate is characters/4; not provider tokenization. Repetition is bounded by previous category size.
01a003eb-913c-7852-98e0-8d40a0befc03:00001,2026-08-15T05:37:21.919Z,01a003eb-913c-7852-98e0-8d40a0befc03,orchestrator-deepseek,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,Gauntlet canonical prompt,2033,0,2033,2033,508,4.5897,2033,100.0,21cdc1439c8474e72307f089c32f80dd60dcb6ba7202cf9a898ad6a1bbefebab,Token estimate is characters/4; not provider tokenization. Repetition is bounded by previous category size.
01a003eb-913c-7852-98e0-8d40a0befc03:00001,2026-08-15T05:37:21.919Z,01a003eb-913c-7852-98e0-8d40a0befc03,orchestrator-deepseek,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,git output,480,0,480,480,120,1.0836,0,0.0,381704aef58b6aa91d8c55f0ac958353dbbae8f41b05536a72af88c3d4259e5e,Token estimate is characters/4; not provider tokenization. Repetition is bounded by previous category size.
01a003eb-913c-7852-98e0-8d40a0befc03:00001,2026-08-15T05:37:21.919Z,01a003eb-913c-7852-98e0-8d40a0befc03,orchestrator-deepseek,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,historical conversation/turns,21008,2696,23704,21064,5926,53.5139,21008,88.6264,d58adaa492d79086985d90bc145cbf0970f61f299a1342f570fbad4df4959ce1,Token estimate is characters/4; not provider tokenization. Repetition is bounded by previous category size.
01a003eb-913c-7852-98e0-8d40a0befc03:00001,2026-08-15T05:37:21.919Z,01a003eb-913c-7852-98e0-8d40a0befc03,orchestrator-deepseek,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,system/harness instructions,6053,0,6053,6063,1513,13.6652,6053,100.0,222ef02b80f83c7b353a0b602e17e27fa863f507a95e2630f4d5f435b6eadcd8,Token estimate is characters/4; not provider tokenization. Repetition is bounded by previous category size.
01a003eb-913c-7852-98e0-8d40a0befc03:00002,2026-08-15T05:38:01.126Z,01a003eb-913c-7852-98e0-8d40a0befc03,orchestrator-deepseek,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,AGENTS/instructions,21673,0,21673,21831,5418,27.7436,7947,36.6677,313a05129c6757c5290b0a3f957f56c63d75cf82a6abfa9583e735982bd14ac2,Token estimate is characters/4; not provider tokenization. Repetition is bounded by previous category size.
01a003eb-913c-7852-98e0-8d40a0befc03:00002,2026-08-15T05:38:01.126Z,01a003eb-913c-7852-98e0-8d40a0befc03,orchestrator-deepseek,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,CURRENT/HORIZON/HANDOFF/state,4078,0,4078,4112,1020,5.2202,4078,100.0,273d1d85be30857dcae9b60d16c304c2dc87c8647d99f1c6dff22c319ed9ad41,Token estimate is characters/4; not provider tokenization. Repetition is bounded by previous category size.
01a003eb-913c-7852-98e0-8d40a0befc03:00002,2026-08-15T05:38:01.126Z,01a003eb-913c-7852-98e0-8d40a0befc03,orchestrator-deepseek,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,Gauntlet canonical prompt,4124,0,4124,4132,1031,5.2791,2033,49.2968,2720965419f596843a1f5a126393fbe9fccc589c6442685ebd8461369e87d031,Token estimate is characters/4; not provider tokenization. Repetition is bounded by previous category size.
