error_id,timestamp,session_id,parent_session_id,request_key,agent,role,model,gauntlet_objective_id,layer,http_status,error_type,sanitized_message,retry_number,harness_turn_outcome,source_reference
b279859b7d75d00a2ad4,2026-08-14T01:22:21.946Z,019ffddb-9859-7833-b05f-476bad51ba1d,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,builder-qwen,builder,qwen3.6,BOOTSTRAP-01,tool/harness,,tool_failure,search_replace outcome=error,,,~/.grok/sessions/<encoded-cwd>/019ffddb-9859-7833-b05f-476bad51ba1d/events.jsonl
214e7e5435388f460c94,2026-08-14T01:22:56.970Z,019ffddb-9859-7833-b05f-476bad51ba1d,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,builder-qwen,builder,qwen3.6,BOOTSTRAP-01,tool/harness,,tool_failure,run_terminal_command outcome=error,,,~/.grok/sessions/<encoded-cwd>/019ffddb-9859-7833-b05f-476bad51ba1d/events.jsonl
3cce3ca6cdf6e0d1f57c,2026-08-14T01:23:07.459Z,019ffddb-9859-7833-b05f-476bad51ba1d,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,builder-qwen,builder,qwen3.6,BOOTSTRAP-01,tool/harness,,tool_failure,run_terminal_command outcome=error,,,~/.grok/sessions/<encoded-cwd>/019ffddb-9859-7833-b05f-476bad51ba1d/events.jsonl
36c4ab11ef273b019722,2026-08-14T01:23:16.815Z,019ffddb-9859-7833-b05f-476bad51ba1d,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,builder-qwen,builder,qwen3.6,BOOTSTRAP-01,tool/harness,,tool_failure,run_terminal_command outcome=error,,,~/.grok/sessions/<encoded-cwd>/019ffddb-9859-7833-b05f-476bad51ba1d/events.jsonl
ae33634f62db2fe1e5c2,2026-08-14T01:23:34.916Z,019ffddb-9859-7833-b05f-476bad51ba1d,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,builder-qwen,builder,qwen3.6,BOOTSTRAP-01,tool/harness,,tool_failure,run_terminal_command outcome=error,,,~/.grok/sessions/<encoded-cwd>/019ffddb-9859-7833-b05f-476bad51ba1d/events.jsonl
f82dfb14992212f02829,2026-08-14T01:23:42.164Z,019ffddb-9859-7833-b05f-476bad51ba1d,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,builder-qwen,builder,qwen3.6,BOOTSTRAP-01,tool/harness,,tool_failure,run_terminal_command outcome=error,,,~/.grok/sessions/<encoded-cwd>/019ffddb-9859-7833-b05f-476bad51ba1d/events.jsonl
1614215278d535725b38,2026-08-14T01:25:31.777Z,019ffddb-9859-7833-b05f-476bad51ba1d,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,builder-qwen,builder,qwen3.6,BOOTSTRAP-01,tool/harness,,tool_failure,search_replace outcome=error,,,~/.grok/sessions/<encoded-cwd>/019ffddb-9859-7833-b05f-476bad51ba1d/events.jsonl
d6c07fd40218ae35ef39,2026-08-14T01:35:43.251Z,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,,grok-build-plan,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,tool/harness,,tool_failure,read_file outcome=error,,,~/.grok/sessions/<encoded-cwd>/019ffdda-1b40-7b90-91ae-cc7f3ad623b0/events.jsonl
a8e8289f363c174c61d2,2026-08-14T01:36:02.047Z,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,,grok-build-plan,parent/orchestrator,deepseek-v4-flash-0731,BOOTSTRAP-01,tool/harness,,tool_failure,list_dir outcome=error,,,~/.grok/sessions/<encoded-cwd>/019ffdda-1b40-7b90-91ae-cc7f3ad623b0/events.jsonl
3122de91fec5729b2960,2026-08-14T01:42:22.274Z,019ffdeb-0707-73d3-be0e-33d1db61449f,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,builder-qwen,builder,qwen3.6,BOOTSTRAP-02,tool/harness,,tool_failure,run_terminal_command outcome=error,,,~/.grok/sessions/<encoded-cwd>/019ffdeb-0707-73d3-be0e-33d1db61449f/events.jsonl
