objective_id,timestamp_start,timestamp_end,total_wall_time_ms,parent_orchestrator_requests,parent_orchestrator_prompt_tokens,parent_orchestrator_completion_tokens_estimate,builder_requests,builder_prompt_tokens,critic_requests,critic_prompt_tokens,integration_requests,integration_prompt_tokens,auxiliary_requests,auxiliary_prompt_tokens,committer_requests,committer_prompt_tokens,total_processed_prompt_tokens,total_completion_tokens_estimate,total_processed_tokens,critic_retries,integration_retries,provider_failures,compactions,final_result,first_pass,model_routing_used,history_iteration,timing_cross_reference,attribution_note
BOOTSTRAP-01,2026-08-14T01:19:21.860Z,2026-08-18T00:53:57.961Z,344076101,139,6769319,481934,269,23986930,52,1289364,73,1907849,247,14895764,237,4213003,53062229,1242502,54304731,1,0,0,1,accepted,false,"[""auxiliary:deepseek-v4-flash"",""auxiliary:mimo-v2.5"",""auxiliary:qwen3.6"",""bookkeeping/committer:gemma4"",""bookkeeping/committer:grok-4.6"",""builder:qwen3.6"",""critic:deepseek-v4-flash-0731"",""critic:mimo-v2.5"",""integration reviewer:deepseek-v4-flash-0731"",""integration reviewer:mimo-v2.5"",""parent/orchestrator:deepseek-v4-flash"",""parent/orchestrator:deepseek-v4-flash-0731"",""parent/orchestrator:grok-4.6""]",1,TIMING.md row present,Parent attribution is heuristic outside child intervals; role-session objective IDs are high confidence when present in child metadata.
BOOTSTRAP-02,2026-08-14T01:37:46.681Z,2026-08-14T02:28:59.261Z,3072580,10,1163242,10511,10,362306,17,442359,34,1053622,0,0,15,149961,3171490,176853,3348343,0,0,0,0,accepted,true,"[""bookkeeping/committer:grok-4.6"",""builder:qwen3.6"",""critic:deepseek-v4-flash-0731"",""integration reviewer:deepseek-v4-flash-0731"",""parent/orchestrator:grok-4.6""]",2,TIMING.md row present,Parent attribution is heuristic outside child intervals; role-session objective IDs are high confidence when present in child metadata.
BOOTSTRAP-03,2026-08-14T01:53:07.944Z,2026-08-14T02:31:41.177Z,2313233,22,3011123,10400,101,6547456,32,860043,6,161052,0,0,13,107670,10687344,239436,10926780,1,0,0,1,accepted,false,"[""bookkeeping/committer:grok-4.6"",""builder:qwen3.6"",""critic:deepseek-v4-flash-0731"",""integration reviewer:deepseek-v4-flash-0731"",""parent/orchestrator:grok-4.6""]",3,TIMING.md row present,Parent attribution is heuristic outside child intervals; role-session objective IDs are high confidence when present in child metadata.
BOOTSTRAP-04,2026-08-14T02:31:14.270Z,2026-08-14T02:46:52.492Z,938222,6,939147,4625,38,1615953,12,211777,22,721789,0,0,15,118605,3607271,115276,3722547,0,0,0,0,accepted,true,"[""bookkeeping/committer:grok-4.6"",""builder:qwen3.6"",""critic:deepseek-v4-flash-0731"",""integration reviewer:deepseek-v4-flash-0731"",""parent/orchestrator:grok-4.6""]",4,TIMING.md row present,Parent attribution is heuristic outside child intervals; role-session objective IDs are high confidence when present in child metadata.
BOOTSTRAP-05,2026-08-14T02:46:25.728Z,2026-08-14T03:24:05.021Z,2259293,13,2210621,5969,31,1576160,15,329461,23,885856,0,0,15,128678,5130776,137208,5267984,0,0,0,0,accepted,true,"[""bookkeeping/committer:grok-4.6"",""builder:qwen3.6"",""critic:deepseek-v4-flash-0731"",""integration reviewer:deepseek-v4-flash-0731"",""parent/orchestrator:grok-4.6""]",5,TIMING.md row present,Parent attribution is heuristic outside child intervals; role-session objective IDs are high confidence when present in child metadata.
BOOTSTRAP-06,2026-08-14T03:01:34.990Z,2026-08-14T04:06:51.186Z,3916196,21,3863450,7458,165,12059217,52,1781803,30,1388452,0,0,14,107874,19200796,433887,19634683,2,0,0,0,accepted,false,"[""bookkeeping/committer:grok-4.6"",""builder:qwen3.6"",""critic:deepseek-v4-flash-0731"",""integration reviewer:deepseek-v4-flash-0731"",""parent/orchestrator:grok-4.6""]",6,TIMING.md row present,Parent attribution is heuristic outside child intervals; role-session objective IDs are high confidence when present in child metadata.
BOOTSTRAP-07,2026-08-14T03:58:17.152Z,2026-08-14T04:23:58.465Z,1541313,12,2359085,4944,43,1886799,12,322129,19,606838,0,0,13,105456,5280307,127197,5407504,0,0,0,0,accepted,true,"[""bookkeeping/committer:grok-4.6"",""builder:mimo-v2.5"",""critic:deepseek-v4-flash-0731"",""integration reviewer:deepseek-v4-flash-0731"",""parent/orchestrator:grok-4.6""]",7,TIMING.md row present,Parent attribution is heuristic outside child intervals; role-session objective IDs are high confidence when present in child metadata.
BOOTSTRAP-08,2026-08-14T04:15:24.433Z,2026-08-14T04:49:20.245Z,2035812,20,4193908,10508,73,3968003,12,345939,10,232684,0,0,14,95945,8836479,148536,8985015,0,0,0,0,accepted,true,"[""bookkeeping/committer:grok-4.6"",""builder:mimo-v2.5"",""critic:deepseek-v4-flash-0731"",""integration reviewer:deepseek-v4-flash-0731"",""parent/orchestrator:grok-4.6""]",8,TIMING.md row present,Parent attribution is heuristic outside child intervals; role-session objective IDs are high confidence when present in child metadata.
BOOTSTRAP-09,2026-08-14T04:36:27.319Z,2026-08-14T05:07:01.136Z,1833817,14,3150651,8227,82,4625571,32,973792,14,473464,0,0,16,120263,9343741,230849,9574590,1,0,0,0,accepted,false,"[""bookkeeping/committer:grok-4.6"",""builder:qwen3.6"",""critic:deepseek-v4-flash-0731"",""integration reviewer:deepseek-v4-flash-0731"",""parent/orchestrator:grok-4.6""]",9,TIMING.md row present,Parent attribution is heuristic outside child intervals; role-session objective IDs are high confidence when present in child metadata.
BOOTSTRAP-10,2026-08-14T05:06:52.367Z,2026-08-14T15:56:17.757Z,38965390,37,9153824,13565,303,22993818,69,2505173,28,1520732,0,0,20,234699,36408246,547910,36956156,3,0,0,0,accepted,false,"[""bookkeeping/committer:grok-4.6"",""builder:qwen3.6"",""critic:deepseek-v4-flash-0731"",""integration reviewer:deepseek-v4-flash-0731"",""parent/orchestrator:grok-4.6""]",10,TIMING.md row present,Parent attribution is heuristic outside child intervals; role-session objective IDs are high confidence when present in child metadata.
