request_key,timestamp_start,timestamp_first_token,timestamp_end,duration_ms,session_id,parent_session_id,request_id,provider_request_id,request_sequence,turn_sequence,loop_index,agent,role,model,provider,api_backend,gauntlet_objective_id,objective_attribution_confidence,prompt_input_tokens,completion_output_tokens,total_tokens,token_measurement,context_window_tokens_before,context_window_tokens_after,record_count,tool_calls_in_context,tool_calls_emitted,tool_names_emitted,context_content_characters,context_content_bytes,context_serialized_characters,context_serialized_bytes,tool_argument_characters_in_context,reasoning_summary_characters_in_context,context_sha256,reasoning_effort,cache_hit,cached_read_tokens,cache_creation_tokens,compaction_happened,compaction_size_before_tokens,compaction_size_after_tokens,retry_number,http_provider_status,error_type,success,immediately_after_child_finished,activity_class,new_decision_high_confidence,repeated_context_tokens_estimate,repeated_context_percentage_estimate,context_reconstruction
019ffdda-1b40-7b90-91ae-cc7f3ad623b0:00000,2026-08-14T01:19:21.860Z,2026-08-14T01:19:23.146Z,2026-08-14T01:19:26.456Z,4596,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,2ccb741b-ee4e-4cd5-b10f-e6e48f8d4cc2,,0,0,0,orchestrator,parent/orchestrator,grok-4.6,xAI,responses/unknown,BOOTSTRAP-01,medium,9920,15292,25212,grok_context_meter_at_generation_start; completion_delta_estimate,9920,25212,,,5,"[""read_file"",""read_file"",""read_file"",""read_file"",""read_file""]",,,,,,,,,,,,false,,,0,,,true,false,acceptance/bookkeeping,false,,,unavailable_after_compaction
019ffdda-1b40-7b90-91ae-cc7f3ad623b0:00001,2026-08-14T01:19:27.557Z,2026-08-14T01:19:28.583Z,2026-08-14T01:19:33.804Z,6247,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,2ccb741b-ee4e-4cd5-b10f-e6e48f8d4cc2,,1,0,1,orchestrator,parent/orchestrator,grok-4.6,xAI,responses/unknown,BOOTSTRAP-01,medium,25863,2835,28698,grok_context_meter_at_generation_start; completion_delta_estimate,25863,28698,,,5,"[""run_terminal_command"",""read_file"",""read_file"",""read_file"",""list_dir""]",,,,,,,,,,,,false,,,0,,,true,false,acceptance/bookkeeping,false,9920,38.356,unavailable_after_compaction
019ffdda-1b40-7b90-91ae-cc7f3ad623b0:00002,2026-08-14T01:19:35.179Z,2026-08-14T01:19:36.289Z,2026-08-14T01:19:41.218Z,6039,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,2ccb741b-ee4e-4cd5-b10f-e6e48f8d4cc2,,2,0,2,orchestrator,parent/orchestrator,grok-4.6,xAI,responses/unknown,BOOTSTRAP-01,high,29276,1842,31118,grok_context_meter_at_generation_start; completion_delta_estimate,29276,31118,,,5,"[""grep"",""read_file"",""read_file"",""list_dir"",""list_dir""]",,,,,,,,,,,,false,,,0,,,true,false,substantive_orchestration,,25863,88.342,unavailable_after_compaction
019ffdda-1b40-7b90-91ae-cc7f3ad623b0:00003,2026-08-14T01:19:42.116Z,2026-08-14T01:19:43.535Z,2026-08-14T01:19:45.270Z,3154,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,2ccb741b-ee4e-4cd5-b10f-e6e48f8d4cc2,,3,0,3,orchestrator,parent/orchestrator,grok-4.6,xAI,responses/unknown,BOOTSTRAP-01,medium,31147,3652,34799,grok_context_meter_at_generation_start; completion_delta_estimate,31147,34799,,,5,"[""read_file"",""read_file"",""read_file"",""read_file"",""read_file""]",,,,,,,,,,,,false,,,0,,,true,false,substantive_orchestration,,29276,93.993,unavailable_after_compaction
019ffdda-1b40-7b90-91ae-cc7f3ad623b0:00004,2026-08-14T01:19:46.207Z,2026-08-14T01:19:47.250Z,2026-08-14T01:19:49.769Z,3562,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,2ccb741b-ee4e-4cd5-b10f-e6e48f8d4cc2,,4,0,4,orchestrator,parent/orchestrator,grok-4.6,xAI,responses/unknown,BOOTSTRAP-01,medium,35827,2637,38464,grok_context_meter_at_generation_start; completion_delta_estimate,35827,38464,,,6,"[""read_file"",""read_file"",""read_file"",""read_file"",""read_file"",""read_file""]",,,,,,,,,,,,false,,,0,,,true,false,substantive_orchestration,,31147,86.9372,unavailable_after_compaction
019ffdda-1b40-7b90-91ae-cc7f3ad623b0:00005,2026-08-14T01:19:51.039Z,2026-08-14T01:19:51.987Z,2026-08-14T01:20:00.406Z,9367,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,2ccb741b-ee4e-4cd5-b10f-e6e48f8d4cc2,,5,0,5,orchestrator,parent/orchestrator,grok-4.6,xAI,responses/unknown,BOOTSTRAP-01,medium,38654,1953,40607,grok_context_meter_at_generation_start; completion_delta_estimate,38654,40607,,,7,"[""run_terminal_command"",""read_file"",""read_file"",""read_file"",""read_file"",""read_file"",""read_file""]",,,,,,,,,,,,false,,,0,,,true,false,acceptance/bookkeeping,false,35827,92.6864,unavailable_after_compaction
019ffdda-1b40-7b90-91ae-cc7f3ad623b0:00006,2026-08-14T01:20:03.248Z,2026-08-14T01:20:04.572Z,2026-08-14T01:20:54.634Z,51386,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,2ccb741b-ee4e-4cd5-b10f-e6e48f8d4cc2,,6,0,6,orchestrator,parent/orchestrator,grok-4.6,xAI,responses/unknown,BOOTSTRAP-01,medium,45961,8187,54148,grok_context_meter_at_generation_start; completion_delta_estimate,45961,54148,,,2,"[""write"",""spawn_subagent""]",,,,,,,,,,,,false,,,0,,,true,false,strategic_decision,true,38654,84.1017,unavailable_after_compaction
019ffdda-1b40-7b90-91ae-cc7f3ad623b0:00007,2026-08-14T01:20:55.269Z,2026-08-14T01:20:56.518Z,2026-08-14T01:21:04.655Z,9386,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,2ccb741b-ee4e-4cd5-b10f-e6e48f8d4cc2,,7,0,7,orchestrator,parent/orchestrator,grok-4.6,xAI,responses/unknown,BOOTSTRAP-01,high,54173,1430,55603,grok_context_meter_at_generation_start; completion_delta_estimate,54173,55603,,,7,"[""todo_write"",""read_file"",""read_file"",""read_file"",""read_file"",""read_file"",""read_file""]",,,,,,,,,,,,false,,,0,,,true,false,substantive_orchestration,,45961,84.8412,unavailable_after_compaction
019ffddb-9859-7833-b05f-476bad51ba1d:00000,2026-08-14T01:20:55.486Z,2026-08-14T01:20:56.962Z,2026-08-14T01:20:59.282Z,3796,019ffddb-9859-7833-b05f-476bad51ba1d,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,019ffddb-9a47-7061-b2e4-657bdc6ed908,,0,0,0,builder-qwen,builder,qwen3.6,custom-openai-compatible,chat_completions,BOOTSTRAP-01,medium,4926,4397,9323,grok_context_meter_at_generation_start; completion_delta_estimate,4926,9323,,,3,"[""read_file"",""read_file"",""list_dir""]",,,,,,,,,,,,false,,,0,,,true,false,role_work,,,,unavailable/in_flight
019ffddb-9859-7833-b05f-476bad51ba1d:00001,2026-08-14T01:20:59.944Z,2026-08-14T01:21:01.191Z,2026-08-14T01:21:04.898Z,4954,019ffddb-9859-7833-b05f-476bad51ba1d,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,019ffddb-9a47-7061-b2e4-657bdc6ed908,,1,0,1,builder-qwen,builder,qwen3.6,custom-openai-compatible,chat_completions,BOOTSTRAP-01,medium,9785,3287,13072,grok_context_meter_at_generation_start; completion_delta_estimate,9785,13072,,,10,"[""read_file"",""read_file"",""read_file"",""read_file"",""read_file"",""read_file"",""read_file"",""read_file"",""read_file"",""read_file""]",,,,,,,,,,,,false,,,0,,,true,false,role_work,,4926,50.3424,unavailable/in_flight
