slot_id,family,target_test_ids,split,source_role,candidate_source_id,observed_deflection_band_deg,incoming_speed_band,receiver_orientation_group,start_pts,end_pts,media_sha256,status
plan-loc-acc-development-01,loc-acc,LOC-ACC-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-loc-acc-development-02,loc-acc,LOC-ACC-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-loc-acc-development-03,loc-acc,LOC-ACC-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-loc-acc-development-04,loc-acc,LOC-ACC-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-loc-acc-development-05,loc-acc,LOC-ACC-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-loc-max-development-01,loc-max,LOC-MAX-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-loc-max-development-02,loc-max,LOC-MAX-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-loc-max-development-03,loc-max,LOC-MAX-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-loc-max-development-04,loc-max,LOC-MAX-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-loc-max-development-05,loc-max,LOC-MAX-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-loc-dec-development-01,loc-dec,LOC-DEC-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-loc-dec-development-02,loc-dec,LOC-DEC-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-loc-dec-development-03,loc-dec,LOC-DEC-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-loc-dec-development-04,loc-dec,LOC-DEC-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-loc-dec-development-05,loc-dec,LOC-DEC-001,development,training,C4-W1u8w-yE,,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-45-development-01,turn-45,LOC-T45-001,development,match-development,8afTHuMZxbI,30-60,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-45-development-02,turn-45,LOC-T45-001,development,match-development,8afTHuMZxbI,30-60,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-45-development-03,turn-45,LOC-T45-001,development,match-development,8afTHuMZxbI,30-60,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-45-held-out-01,turn-45,LOC-T45-001,held-out,match-held-out,,30-60,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-45-held-out-02,turn-45,LOC-T45-001,held-out,match-held-out,,30-60,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-90-development-01,turn-90,LOC-T90-001,development,match-development,8afTHuMZxbI,70-110,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-90-development-02,turn-90,LOC-T90-001,development,match-development,8afTHuMZxbI,70-110,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-90-development-03,turn-90,LOC-T90-001,development,match-development,8afTHuMZxbI,70-110,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-90-held-out-01,turn-90,LOC-T90-001,held-out,match-held-out,,70-110,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-90-held-out-02,turn-90,LOC-T90-001,held-out,match-held-out,,70-110,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-rev-development-01,turn-rev,LOC-REV-001,development,match-development,8afTHuMZxbI,150-180,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-rev-development-02,turn-rev,LOC-REV-001,development,match-development,8afTHuMZxbI,150-180,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-rev-development-03,turn-rev,LOC-REV-001,development,match-development,8afTHuMZxbI,150-180,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-rev-held-out-01,turn-rev,LOC-REV-001,held-out,match-held-out,,150-180,,,,,,UNLOCATED_NOT_ANNOTATED
plan-turn-rev-held-out-02,turn-rev,LOC-REV-001,held-out,match-held-out,,150-180,,,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-lower-open-front-development-01,chain-lower-open-front,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,lower-pending-measurement,open-front,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-lower-open-front-development-02,chain-lower-open-front,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,lower-pending-measurement,open-front,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-lower-open-front-development-03,chain-lower-open-front,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,lower-pending-measurement,open-front,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-lower-open-front-development-04,chain-lower-open-front,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,lower-pending-measurement,open-front,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-lower-open-front-held-out-01,chain-lower-open-front,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,held-out,match-held-out,,,lower-pending-measurement,open-front,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-lower-open-front-held-out-02,chain-lower-open-front,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,held-out,match-held-out,,,lower-pending-measurement,open-front,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-lower-side-back-development-01,chain-lower-side-back,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,lower-pending-measurement,side-back,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-lower-side-back-development-02,chain-lower-side-back,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,lower-pending-measurement,side-back,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-lower-side-back-development-03,chain-lower-side-back,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,lower-pending-measurement,side-back,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-lower-side-back-development-04,chain-lower-side-back,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,lower-pending-measurement,side-back,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-lower-side-back-held-out-01,chain-lower-side-back,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,held-out,match-held-out,,,lower-pending-measurement,side-back,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-lower-side-back-held-out-02,chain-lower-side-back,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,held-out,match-held-out,,,lower-pending-measurement,side-back,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-higher-open-front-development-01,chain-higher-open-front,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,higher-pending-measurement,open-front,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-higher-open-front-development-02,chain-higher-open-front,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,higher-pending-measurement,open-front,,,,UNLOCATED_NOT_ANNOTATED
